v ATLAS
# This file was created by ATLAS version 5.26.1.R on Sat Jan 01 10:41:58 2022.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
# Electrode #0 = 0 (V) 
# Electrode #1 = 0.6 (V) 
# Electrode #2 = 1 (V) 
# Electrode #3 = 1 (V) 
o 1 Energy (eV) 
o 2 Transmission  (electrons)  
o 3 DOS(1/eV cm)  (electrons)  x=0 
o 4 DOS(1/eV cm)  (electrons)  x=0.035 
o 5 J(A/eV)  (electrons)  x=0.01 
p 5 3000  3001  3002  3003  3004 
d  -0.718807125   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.717719598   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.716951224   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.715991838   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.715097669   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.714339411   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.713683355   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.712972173   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.712335145   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.711644751   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.711064463   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.710215212   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.709252748   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.708179653   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.707292181   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.705981626   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.704521045   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.703309071   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.701520642   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.700130496   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.698422754   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.697250841   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.69583274   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.694689724   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.693755187   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.692585785   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.691414776   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.689834855   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.688139828   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.685942769   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.683785027   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.681295945   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.678462309   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.676760637   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.675040037   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.673588634   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.672103204   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.671101392   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.669878522   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.66875582   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.667974288   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.667002985   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.666093777   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.665239117   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.664626799   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.66385177   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.66311686   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.662419603   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.661917814   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.661270137   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.660648094   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.660058598   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.659488892   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.658936197   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.658542465   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.658026601   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.657531786   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.657056232   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.656590974   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.656151966   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.655716674   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.65539035   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.655005183   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.654621531   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.654244947   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.653886916   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.653541483   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.653203714   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.652891411   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.652579108   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.652289188   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.652082201   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.651806218   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.651526559   1e-014   4e-015   4e-015   2.43413403e-026  
d  -0.651241547   1e-014   4e-015   723523429   2.43413403e-026  
d  -0.650956535   1e-014   4e-015   1.25101272e+009   2.43413403e-026  
d  -0.65065077   1e-014   4e-015   1.45511578e+009   2.43413403e-026  
d  -0.650327444   1e-014   4e-015   1.51326162e+009   2.43413403e-026  
d  -0.650003559   1e-014   4e-015   1.4857702e+009   2.43413403e-026  
d  -0.649644786   1e-014   4e-015   1.39911089e+009   2.43413403e-026  
d  -0.649286013   1e-014   4e-015   1.27996313e+009   2.43413403e-026  
d  -0.648902537   1e-014   4e-015   1.13546007e+009   2.43413403e-026  
d  -0.6486084   1e-014   4e-015   1.02054014e+009   2.43413403e-026  
d  -0.648203231   1e-014   4e-015   864094347   2.43413403e-026  
d  -0.64777914   1e-014   4e-015   708966789   2.43413403e-026  
d  -0.64734024   1e-014   4e-015   562464412   2.43413403e-026  
d  -0.646885376   1e-014   4e-015   428581773   2.43413403e-026  
d  -0.646410004   1e-014   4e-015   309551243   2.43413403e-026  
d  -0.645925203   1e-014   4e-015   210235282   2.43413403e-026  
d  -0.645539696   1e-014   4e-015   146616879   2.43413403e-026  
d  -0.645021026   1e-014   4e-015   81101257.5   2.43413403e-026  
d  -0.644478283   1e-014   4e-015   34969389.7   2.43413403e-026  
d  -0.6439169   1e-014   4e-015   8375632.12   2.43413403e-026  
d  -0.64333942   1e-014   4e-015   186.308311   2.43413403e-026  
d  -0.642740247   1e-014   4e-015   7911724.26   2.43413403e-026  
d  -0.642273731   1e-014   4e-015   23400860   2.43413403e-026  
d  -0.641637998   1e-014   4e-015   54449243.9   2.43413403e-026  
d  -0.640981352   1e-014   4e-015   94943646.7   2.43413403e-026  
d  -0.640298766   1e-014   4e-015   142282554   2.43413403e-026  
d  -0.639592079   1e-014   4e-015   193335171   2.43413403e-026  
d  -0.639015611   1e-014   4e-015   234381499   2.43413403e-026  
d  -0.638297998   1e-014   4e-015   282561826   2.43413403e-026  
d  -0.637523569   1e-014   4e-015   328833805   2.43413403e-026  
d  -0.636721777   1e-014   4e-015   368707530   2.43413403e-026  
d  -0.635896024   1e-014   4e-015   400056418   2.43413403e-026  
d  -0.635272249   1e-014   4e-015   416871909   2.43413403e-026  
d  -0.634480729   1e-014   4e-015   429714469   2.43413403e-026  
d  -0.633548181   1e-014   4e-015   433179949   2.43413403e-026  
d  -0.632836974   1e-014   4e-015   428017902   2.43413403e-026  
d  -0.632331354   1e-014   4e-015   420646723   2.43413403e-026  
d  -0.631678762   1e-014   4e-015   407083643   2.43413403e-026  
d  -0.631053236   1e-014   4e-015   390337712   2.43413403e-026  
d  -0.630454607   1e-014   4e-015   371414290   2.43413403e-026  
d  -0.629891301   1e-014   4e-015   351478694   2.43413403e-026  
d  -0.629349304   1e-014   4e-015   330744772   2.43413403e-026  
d  -0.628958609   1e-014   4e-015   315060775   2.43413403e-026  
d  -0.628464571   1e-014   4e-015   294570735   2.43413403e-026  
d  -0.627985138   1e-014   4e-015   274207170   2.43413403e-026  
d  -0.627547977   1e-014   4e-015   255415984   2.43413403e-026  
d  -0.627116574   1e-014   4e-015   236822418   2.43413403e-026  
d  -0.626731738   1e-014   4e-015   220310421   2.43413403e-026  
d  -0.626346903   1e-014   4e-015   203967050   2.43413403e-026  
d  -0.625938766   1e-014   4e-015   1.06724316e+009   2.43413403e-026  
d  -0.625631618   1e-014   4e-015   1.48761515e+009   2.43413403e-026  
d  -0.625182859   1e-014   4e-015   1.65181491e+009   2.43413403e-026  
d  -0.624717238   1e-014   4e-015   1.60955344e+009   2.43413403e-026  
d  -0.62420183   1e-014   4e-015   1.45469703e+009   2.43413403e-026  
d  -0.623664942   1e-014   4e-015   1.24492627e+009   2.43413403e-026  
d  -0.623096323   1e-014   4e-015   1.01149729e+009   2.43413403e-026  
d  -0.622636563   1e-014   4e-015   830746031   2.43413403e-026  
d  -0.622002059   1e-014   4e-015   606231782   2.43413403e-026  
d  -0.621330906   1e-014   4e-015   408112486   2.43413403e-026  
d  -0.620619085   1e-014   4e-015   244830449   2.43413403e-026  
d  -0.619861558   1e-014   4e-015   121608820   2.43413403e-026  
d  -0.61926252   1e-014   4e-015   57371290   2.43413403e-026  
d  -0.618428499   1e-014   4e-015   9587784.61   2.43413403e-026  
d  -0.617546461   1e-014   4e-015   1739546.75   2.43413403e-026  
d  -0.616613899   1e-014   4e-015   28898936.4   2.43413403e-026  
d  -0.615875826   1e-014   4e-015   68510402.2   2.43413403e-026  
d  -0.614844496   1e-014   4e-015   140408443   2.43413403e-026  
d  -0.613756166   1e-014   4e-015   226143124   2.43413403e-026  
d  -0.612816029   1e-014   4e-015   300793689   2.43413403e-026  
d  -0.611938187   1e-014   4e-015   366611805   2.43413403e-026  
d  -0.610992701   1e-014   4e-015   430201609   2.43413403e-026  
d  -0.610113939   1e-014   4e-015   480689313   2.43413403e-026  
d  -0.609503271   1e-014   4e-015   510334034   2.43413403e-026  
d  -0.608743265   1e-014   4e-015   540729265   2.43413403e-026  
d  -0.608050711   1e-014   4e-015   562120072   2.43413403e-026  
d  -0.607388401   1e-014   4e-015   577063051   2.43413403e-026  
d  -0.606674757   1e-014   4e-015   587373383   2.43413403e-026  
d  -0.606068668   1e-014   4e-015   591671482   2.43413403e-026  
d  -0.605183546   1e-014   4e-015   591166058   2.43413403e-026  
d  -0.604188227   1e-014   4e-015   582016306   2.43413403e-026  
d  -0.603068977   1e-014   4e-015   562563065   2.43413403e-026  
d  -0.602148659   1e-014   4e-015   540677823   2.43413403e-026  
d  -0.600796571   1e-014   4e-015   501335260   2.43413403e-026  
d  -0.599675355   1e-014   4e-015   464285767   2.43413403e-026  
d  -0.598023715   1e-014   4e-015   406084168   2.43413403e-026  
d  -0.59644129   1e-014   4e-015   349909409   2.43413403e-026  
d  -0.594611053   1e-014   4e-015   288478000   2.43413403e-026  
d  -0.592898559   1e-014   4e-015   237272284   2.43413403e-026  
d  -0.590317525   1e-014   4e-015   175301864   2.43413403e-026  
d  -0.588111194   1e-014   4e-015   138502725   2.43413403e-026  
d  -0.585619885   1e-014   4e-015   114971278   2.43413403e-026  
d  -0.582767115   1e-014   4e-015   109861061   2.43413403e-026  
d  -0.579450579   1e-014   4e-015   129626123   2.43413403e-026  
d  -0.575710496   1e-014   4e-015   180133073   2.43413403e-026  
d  -0.572424203   1e-014   4e-015   245770023   2.43413403e-026  
d  -0.569575503   1e-014   4e-015   315763292   2.43413403e-026  
d  -0.56696676   1e-014   4e-015   384805249   2.43413403e-026  
d  -0.564180598   1e-014   4e-015   452295680   2.43413403e-026  
d  -0.562387031   1e-014   4e-015   516492176   2.43413403e-026  
d  -0.560416864   1e-014   4e-015   1.30208021e+009   2.43413403e-026  
d  -0.557920723   1e-014   4e-015   880743887   2.43413403e-026  
d  -0.554890129   1e-014   4e-015   609589687   2.43413403e-026  
d  -0.550753431   1e-014   4e-015   413116395   2.43413403e-026  
d  -0.547081603   1e-014   4e-015   319509161   2.43413403e-026  
d  -0.540767178   1e-014   4e-015   290447527   2.43413403e-026  
d  -0.534217282   1e-014   4e-015   324766541   2.43413403e-026  
d  -0.524774578   1e-014   4e-015   305930157   2.43413403e-026  
d  -0.515985108   1e-014   4e-015   302806758   2.43413403e-026  
d  -0.504742752   1e-014   4e-015   418179349   2.43413403e-026  
d  -0.494917909   1e-014   4e-015   407441230   2.43413403e-026  
d  -0.481818117   1e-014   4e-015   158352881   2.43413403e-026  
d  -0.468718326   1e-014   4e-015   55364975.1   2.43413403e-026  
d  -0.458893483   1e-014   4e-015   1.13627371e+009   2.43413403e-026  
d  -0.445793692   1e-014   4e-015   714999053   2.43413403e-026  
d  -0.432693901   1e-014   4e-015   420763593   2.43413403e-026  
d  -0.419594109   1e-014   4e-015   298747599   2.43413403e-026  
d  -0.406494318   1e-014   4e-015   402741699   2.43413403e-026  
d  -0.393394527   1e-014   4e-015   310587089   2.43413403e-026  
d  -0.380294736   1e-014   4e-015   176864602   2.43413403e-026  
d  -0.367194945   1e-014   4e-015   161421998   2.43413403e-026  
d  -0.354095154   1e-014   4e-015   258520731   2.43413403e-026  
d  -0.340995362   1e-014   4e-015   363016801   2.43413403e-026  
d  -0.327895571   1e-014   4e-015   792155118   2.43413403e-026  
d  -0.31479578   1e-014   4e-015   631989230   2.43413403e-026  
d  -0.301695989   1e-014   4e-015   279843868   2.43413403e-026  
d  -0.288596198   1e-014   4e-015   239772460   2.43413403e-026  
d  -0.275496407   1e-014   4e-015   455782942   2.43413403e-026  
d  -0.262396615   1e-014   4e-015   359767789   2.43413403e-026  
d  -0.249296824   1e-014   4e-015   207522766   2.43413403e-026  
d  -0.236197033   1e-014   4e-015   239339159   2.43413403e-026  
d  -0.223097242   1e-014   4e-015   337205379   2.43413403e-026  
d  -0.211267139   1e-014   4e-015   379693060   2.43413403e-026  
d  -0.202829247   1e-014   4e-015   359047317   2.43413403e-026  
d  -0.19625597   1e-014   1.77635684e-008   314563480   2.43413403e-026  
d  -0.191034644   1e-014   2.66453526e-008   271431296   2.43413403e-026  
d  -0.187576616   1e-014   3.55271368e-008   244666467   2.43413403e-026  
d  -0.184910686   1e-014   7.10542736e-008   227319070   2.43413403e-026  
d  -0.182703813   1e-014   1.0658141e-007   216068543   2.43413403e-026  
d  -0.180522921   1e-014   1.687539e-007   208275713   2.43413403e-026  
d  -0.17860639   1e-014   2.39808173e-007   204536580   2.43413403e-026  
d  -0.177136835   1e-014   3.10862447e-007   204215662   2.43413403e-026  
d  -0.175369268   1e-014   4.35207426e-007   1.43422393e+009   2.43413403e-026  
d  -0.173973025   1e-014   5.41788836e-007   1.52539288e+009   2.43413403e-026  
d  -0.172655272   1e-014   6.83897383e-007   1.10119106e+009   2.43413403e-026  
d  -0.171270588   1e-014   8.8817842e-007   685434716   2.43413403e-026  
d  -0.170301112   1e-014   1.07469589e-006   477210836   2.43413403e-026  
d  -0.169082239   1e-014   1.35891298e-006   317617297   2.43413403e-026  
d  -0.167948605   1e-014   1.67865721e-006   255467878   2.43413403e-026  
d  -0.167146134   1e-014   1.92734717e-006   249892515   2.43413403e-026  
d  -0.166139825   1e-014   2.33590924e-006   274889419   2.43413403e-026  
d  -0.165199868   1e-014   2.81552559e-006   319442269   2.43413403e-026  
d  -0.164326292   1e-014   3.30402372e-006   370969175   2.43413403e-026  
d  -0.163716687   1e-014   3.71258579e-006   409395763   2.43413403e-026  
d  -0.162960199   1e-014   4.28990177e-006   457113090   2.43413403e-026  
d  -0.16226922   1e-014   4.88498131e-006   498782037   2.43413403e-026  
d  -0.161638601   1e-014   5.51114709e-006   533947967   2.43413403e-026  
d  -0.160910513   1e-014   6.33715302e-006   570073543   2.43413403e-026  
d  -0.160302087   1e-014   7.10542736e-006   595997309   2.43413403e-026  
d  -0.159412827   1e-014   8.41993142e-006   626265991   2.43413403e-026  
d  -0.158146798   1e-014   1.07203135e-005   653258143   2.43413403e-026  
d  -0.157296241   1e-014   1.26254562e-005   661073145   2.43413403e-026  
d  -0.156048647   1e-014   1.60671476e-005   658927549   2.43413403e-026  
d  -0.154651197   1e-014   2.10409468e-005   640278957   2.43413403e-026  
d  -0.153587617   1.27019604e-014   2.58815192e-005   617149305   2.43413403e-026  
d  -0.152283661   1e-014   3.33644223e-005   581438102   2.43413403e-026  
d  -0.15109363   1e-014   4.20952162e-005   544544233   2.43413403e-026  
d  -0.150285334   1e-014   4.93383112e-005   518420916   2.43413403e-026  
d  -0.149313321   1e-014   5.97299987e-005   486948442   2.43413403e-026  
d  -0.148371282   1e-014   7.19202475e-005   457271972   2.43413403e-026  
d  -0.147550227   1e-014   8.457679e-005   432671732   2.43413403e-026  
d  -0.146278062   1e-014   0.000108837384   397853640   2.43413403e-026  
d  -0.144773667   1e-014   0.00014685142   363140350   2.43413403e-026  
d  -0.14347561   1e-014   0.000190345517   339581045   2.43413403e-026  
d  -0.141468697   1e-014   0.00028484326   315308616   2.43413403e-026  
d  -0.139724545   1e-014   0.000405266931   305698839   2.43413403e-026  
d  -0.137726884   1e-014   0.000608393336   306151515   2.43413403e-026  
d  -0.134673652   1e-014   0.00113837828   324685143   2.43413403e-026  
d  -0.131739291   1e-014   0.00209326778   354298640   2.43413403e-026  
d  -0.128355044   1e-014   0.00426696012   391685893   2.43413403e-026  
d  -0.124848808   1e-014   0.00903605191   424207459   2.43413403e-026  
d  -0.120851388   1e-014   0.0216457607   445794159   2.43413403e-026  
d  -0.115023965   1e-014   0.0806614686   443598681   2.43413403e-026  
d  -0.108699175   1e-014   0.36082981   406197439   2.43413403e-026  
d  -0.104080805   1e-014   1.1415486   367572836   2.43413403e-026  
d  -0.100085265   1e-014   3.24348072   333242083   2.43413403e-026  
d  -0.0973881796   1e-014   6.7584769   311639105   2.43413403e-026  
d  -0.0953147415   1e-014   12.1018765   296510114   2.43413403e-026  
d  -0.0931080913   1e-014   22.9350708   282138703   2.43413403e-026  
d  -0.0917309683   1e-014   34.5607711   274163812   2.43413403e-026  
d  -0.0901347692   1e-014   56.2420166   265925226   2.43413403e-026  
d  -0.0888243825   1e-014   84.7374232   259984823   2.43413403e-026  
d  -0.0878047913   1e-014   117.369223   255878713   2.43413403e-026  
d  -0.0866586255   1e-014   170.582546   251799178   2.43413403e-026  
d  -0.08561353   1e-014   241.715263   248568038   2.43413403e-026  
d  -0.0848855176   1e-014   309.559803   246588042   2.43413403e-026  
d  -0.0839795339   1e-014   423.542386   244428339   2.43413403e-026  
d  -0.0831340278   1e-014   570.915058   242710402   2.43413403e-026  
d  -0.0823394212   1e-014   760.156475   241350809   2.43413403e-026  
d  -0.0817763186   1e-014   934.437772   240532993   2.43413403e-026  
d  -0.0810592289   1e-014   1220.89945   239661739   2.43413403e-026  
d  -0.0803777763   1e-014   1582.01408   239005607   2.43413403e-026  
d  -0.0797270735   1e-014   2035.99401   238530534   2.43413403e-026  
d  -0.0791028664   1e-014   2605.89622   238209470   2.43413403e-026  
d  -0.078659614   1e-014   3114.43713   238059208   2.43413403e-026  
d  -0.0780830828   1e-014   3942.91541   237957516   2.43413403e-026  
d  -0.0775252931   1e-014   4976.37644   237957071   2.43413403e-026  
d  -0.0769976973   1e-014   6229.63876   238042462   2.43413403e-026  
d  -0.0764832724   1e-014   7789.49076   238203496   2.43413403e-026  
d  -0.0759857445   1e-014   9712.08891   238429990   2.43413403e-026  
d  -0.0756271717   1e-014   11418.8944   238635125   2.43413403e-026  
d  -0.0751571642   1e-014   14174.2265   238955657   2.43413403e-026  
d  -0.0747078055   1e-014   17506.1862   239315377   2.43413403e-026  
d  -0.0742638723   1e-014   21666.1609   239720357   2.43413403e-026  
d  -0.0738435918   1e-014   26632.8399   240147866   2.43413403e-026  
d  -0.0734245819   1e-014   32873.7524   240615564   2.43413403e-026  
d  -0.0730292984   1e-014   40285.3958   241093692   2.43413403e-026  
d  -0.0726340149   1e-014   49612.9009   241606683   2.43413403e-026  
d  -0.0723533595   1e-014   57705.5068   241991566   2.43413403e-026  
d  -0.0719810695   1e-014   70828.4356   242527956   2.43413403e-026  
d  -0.0716198372   1e-014   86864.5105   243075948   2.43413403e-026  
d  -0.0712699414   1e-014   106423.953   243631975   2.43413403e-026  
d  -0.0709235634   1e-014   130868.781   244206302   2.43413403e-026  
d  -0.0705956977   1e-014   160078.823   244771343   2.43413403e-026  
d  -0.070267832   1e-014   197019.691   245356755   2.43413403e-026  
d  -0.0699546311   1e-014   241776.567   245934614   2.43413403e-026  
d  -0.0696486941   1e-014   297267.548   246516295   2.43413403e-026  
d  -0.0693427571   1e-014   368184.245   247114667   2.43413403e-026  
d  -0.0691298905   1e-014   429337.622   247540682   2.43413403e-026  
d  -0.0688460896   1e-014   530557.231   248120803   2.43413403e-026  
d  -0.0685622887   1e-014   661388.467   248714574   2.43413403e-026  
d  -0.0682982952   1e-014   819174.338   249278941   2.43413403e-026  
d  -0.0680372198   1e-014   1022085.08   249848283   2.43413403e-026  
d  -0.0677761444   1e-014   1289609.86   250428580   2.43413403e-026  
d  -0.0675327772   1e-014   1620722.97   250979211   2.43413403e-026  
d  -0.0672955219   1e-014   2051706.47   251524858   2.43413403e-026  
d  -0.0670582666   1e-014   2637764.15   252079079   3.7094162e-026  
d  -0.0668287329   1e-014   3425026.43   252623271   2.43413403e-026  
d  -0.0666171159   1e-014   4444771.29   253131830   2.43413403e-026  
d  -0.066405499   1e-014   5912058.15   253646839   2.43413403e-026  
d  -0.0661938821   1e-014   8130809.92   254168201   2.43413403e-026  
d  -0.0659730396   1e-014   11950547.7   254719046   2.43413403e-026  
d  -0.0657986689   1e-014   17224428.3   255159033   2.43413403e-026  
d  -0.0655661746   1e-014   33826187   255754491   2.43413403e-026  
d  -0.0653336803   0.0633095679   1.19813433e+009   256033357   2.58414885e-005  
d  -0.065077971   0.114120741   1.77662081e+009   256385649   4.64748137e-005  
d  -0.0648112948   0.144041046   1.86915598e+009   256890334   5.85190808e-005  
d  -0.0645446186   0.16535034   1.78645853e+009   257459662   6.70147348e-005  
d  -0.0642587448   0.183104742   1.61732208e+009   258118591   7.40182509e-005  
d  -0.0639609381   0.198186182   1.40874393e+009   258846944   7.98977322e-005  
d  -0.0636631313   0.210991526   1.19628753e+009   259611570   8.48286681e-005  
d  -0.0633399823   0.223133686   978581769   260477857   8.94442832e-005  
d  -0.0630131908   0.234113309   781019313   261389680   9.35626242e-005  
d  -0.0626761194   0.244466614   605052171   262365845   9.73949921e-005  
d  -0.0624104777   0.252114613   486813704   263159788   0.000100193372  
d  -0.0620562888   0.261794704   356230962   264251395   0.000103695583  
d  -0.0616806446   0.27158784   249066624   265449775   0.000107194451  
d  -0.0613002719   0.281156301   169811676   266705533   0.00011057171  
d  -0.0609029328   0.290899019   114141571   268062650   0.000113970665  
d  -0.0604973248   0.300675706   81279445.4   269495904   0.000117343538  
d  -0.0600755862   0.310741636   67978123.6   271037731   0.000120779128  
d  -0.0596454947   0.320969093   71620590.5   272664630   0.000124233973  
d  -0.0593107466   0.328937245   83718721.3   273969267   0.000126902151  
d  -0.058856772   0.339793426   109623513   275792672   0.000130506367  
d  -0.0583861589   0.351147104   144314435   277749123   0.000134239738  
d  -0.0579087776   0.362803525   184068437   279803046   0.000138036676  
d  -0.0574083823   0.375204189   227447925   282031311   0.000142038266  
d  -0.0568996254   0.388029991   270635192   284376029   0.000146138147  
d  -0.0563765148   0.40146917   311874892   286870086   0.000150393579  
d  -0.0559716632   0.412056503   340547733   288857935   0.000153717854  
d  -0.0554247347   0.426629386   373795161   291622488   0.000158254249  
d  -0.0548568414   0.442099568   400918079   294587778   0.000163021485  
d  -0.0542751569   0.458310083   420540537   297722832   0.000167964536  
d  -0.0536798322   0.475284596   432175854   301030467   0.000173084157  
d  -0.0530676674   0.493140111   435736192   304531534   0.000178407931  
d  -0.0525941267   0.50722465   433157001   307305557   0.000182563045  
d  -0.0519518379   0.526693311   423137710   311153482   0.000188242156  
d  -0.0512928867   0.547078812   406314078   315194283   0.000194108104  
d  -0.0506145425   0.568461899   383625540   319440076   0.000200171232  
d  -0.0499158856   0.590855262   356250237   323888816   0.000206419968  
d  -0.0493793753   0.608266443   333510557   327346063   0.00021120515  
d  -0.0486684245   0.631563186   302380706   331965314   0.000217503934  
d  -0.0479841951   0.654149282   272577878   336432013   0.00022349198  
d  -0.0473291947   0.675838936   245214293   340706537   0.000229126353  
d  -0.04670635   0.696446598   220969531   344750823   0.000234367798  
d  -0.0461057759   0.716226237   199718075   348613936   0.000239289102  
d  -0.0455246839   0.735207583   181456586   352301087   0.00024390338  
d  -0.0449671044   0.753209751   166239123   355777224   0.000248173637  
d  -0.0444325983   0.770212639   153847771   359039280   0.000252103981  
d  -0.0439113577   0.786498288   143840524   362141995   0.000255766298  
